30,6.0817
29.4872,11.4663
29.4872,15.6971
29.4872,19.5433
26.9231,26.0817
25.8974,28.774
25.3846,31.0817
24.1026,38.3894
23.5897,42.6202
22.8205,47.6202
23.0769,50.6971
23.0769,53.3894
23.0769,56.0817
22.5641,59.5433
24.1026,60.6971
25.3846,60.6971
27.1795,60.6971
27.1795,57.6202
27.4359,54.1587
28.2051,64.1587
27.1795,69.5433
27.6923,73.3894
29.4872,69.9279
32.3077,68.0048
27.9487,67.6202
30.7692,70.3125
32.5641,65.6971
32.3077,63.0048
32.3077,60.3125
33.0769,73.0048
32.5641,78.774
33.0769,76.4663
33.0769,83.3894
33.0769,86.4663
33.0769,89.5433
33.5897,94.9279
34.6154,97.6202
35.641,100.3125
36.6667,98.3894
37.1795,95.3125
38.2051,91.0817
38.4615,84.9279
38.7179,76.4663
39.2308,70.3125
38.9744,64.9279
39.4872,62.2356
39.7436,69.5433
40.5128,73.774
41.0256,71.0817
43.0769,70.6971
44.1026,70.6971
44.359,67.6202
44.359,64.9279
44.359,61.4663
44.359,57.6202
44.1026,52.6202
44.359,46.0817
44.1026,49.5433
45.641,60.6971
47.1795,60.3125
48.2051,58.774
49.2308,57.6202
48.9744,53.3894
48.4615,48.774
46.9231,43.3894
44.6154,38.0048
40.7692,26.0817
40.5128,19.1587
40.2564,13.3894
40.5128,6.851
40.5128,23.0048
42.3077,25.6971
43.8462,29.9279
43.8462,33.774
45.3846,34.5433
46.4103,38.3894
46.9231,41.4663
47.6923,47.2356
38.4615,74.1587
38.7179,80.3125
38.2051,83.774
38.2051,88.774
